# RMS
4.990333333333333066e+00, 4.140555555555555323e+00, 2.595555555555555394e+00, 1.726222222222222324e+00, 1.636333333333333417e+00, 1.090777777777777846e+00
# WTM, WRTM, TM, RTM, ERTM, UERTM

# Efficiency scale factor
4.123333333333333295e-01, 2.775555555555555554e-01, 7.915555555555555678e-01, 5.442222222222221628e-01, 4.510000000000000120e-01, 7.202222222222222081e-01
# WTM, WRTM, TM, RTM, ERTM, UERTM
