session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,2,1,1.54,0,0,0.5903
1,2,1,1.54,1,0,0.6406
1,2,1,1.54,1,1,0.5078
1,2,1,1.54,0,1,0.6421
1,2,1,1.54,1,0,0.6596
1,2,1,1.54,0,1,0.5372
1,2,1,1.54,1,1,0.6027
1,2,1,1.54,1,1,0.7003
1,2,1,1.54,1,1,0.578
1,2,1,1.54,1,1,0.5794
1,2,1,1.54,0,0,0.6129
1,2,1,1.54,0,0,0.5706
1,2,1,1.54,1,1,0.6155
1,2,1,1.54,0,0,0.5583
1,2,1,1.54,0,0,0.5816
1,2,1,1.54,1,0,0.6465
1,2,1,1.54,1,1,0.6865
1,2,1,1.54,0,0,0.6879
1,2,1,1.54,1,1,0.6093
1,2,1,1.54,1,1,0.5193
1,2,1,1.54,1,1,0.7125
1,2,1,1.54,0,0,0.552
1,2,1,1.54,0,0,0.5334
1,2,1,1.54,1,1,0.6573
1,2,1,1.54,0,0,0.6907
1,2,1,1.54,1,0,0.6546
1,2,1,1.54,1,1,0.4643
1,2,1,1.54,0,0,0.6694
1,2,1,1.54,1,1,0.5232
1,2,1,1.54,1,0,0.5526
1,2,1,1.54,0,0,0.614
1,2,1,1.54,0,0,0.5803
1,2,1,1.54,1,1,0.4979
1,2,1,1.54,1,0,0.4532
1,2,1,1.54,0,0,0.6467
1,2,1,1.54,1,1,0.597
1,2,1,1.54,0,0,0.6379
1,2,1,1.54,0,1,0.6232
1,2,1,1.54,0,0,0.4807
1,2,1,1.54,1,0,0.5025
1,2,1,1.54,0,0,0.4881
1,2,1,1.54,0,0,0.5671
1,2,1,1.54,1,0,0.5751
1,2,0,2.464,1,1,0.4917
1,2,0,2.464,1,1,0.4283
1,2,0,2.464,1,0,0.4255
1,2,0,2.464,0,0,0.4182
1,2,0,2.464,0,0,0.4965
1,2,0,2.464,0,0,0.4618
1,2,0,2.464,1,1,0.4376
1,2,0,2.464,0,1,0.4524
1,2,0,2.464,0,0,0.4018
1,2,0,2.464,1,1,0.4408
1,2,0,2.464,0,0,0.3925
1,2,0,2.464,0,0,0.3419
1,2,0,2.464,0,0,0.3963
1,2,0,2.464,1,1,0.5084
1,2,0,2.464,0,0,0.3459
1,2,0,2.464,0,0,0.3878
1,2,0,2.464,1,1,0.4051
1,2,0,2.464,1,0,0.4224
1,2,0,2.464,1,0,0.4872
1,2,0,2.464,0,0,0.4243
1,2,0,2.464,0,0,0.452
1,2,0,2.464,1,0,0.3875
1,2,0,2.464,1,1,0.4169
1,2,0,2.464,1,0,0.4623
1,2,0,2.464,0,0,0.5516
1,2,0,2.464,1,1,0.5651
1,2,0,2.464,1,0,0.4344
1,2,0,2.464,0,0,0.5876
1,2,0,2.464,1,0,0.617
1,2,0,2.464,0,0,0.4865
1,3,0,2.464,0,1,0.6482
1,3,0,2.464,0,1,0.5229
1,3,0,2.464,0,0,0.4997
1,3,0,2.464,0,1,0.6772
1,3,0,2.464,1,1,0.6598
1,3,0,2.464,1,0,0.7003
1,3,0,2.464,0,1,0.6378
1,3,0,2.464,1,1,0.7809
1,3,0,2.464,1,1,0.661
1,3,0,2.464,0,1,0.6305
1,3,0,2.464,1,0,0.5494
1,3,0,2.464,0,1,0.8297
1,3,0,2.464,1,1,0.5752
1,3,0,2.464,1,0,0.6381
1,3,0,2.464,1,1,0.7423
1,3,0,2.464,1,1,0.5519
1,3,0,2.464,1,1,0.6949
1,3,0,2.464,1,1,0.687
1,3,0,2.464,0,1,0.6944
1,3,0,2.464,0,0,0.5798
1,3,0,2.464,1,0,0.6519
1,3,0,2.464,1,1,0.5777
1,3,0,2.464,0,0,0.4991
1,3,0,2.464,0,0,0.5805
1,3,0,2.464,0,0,0.5383
1,3,0,2.464,1,1,0.5236
1,3,0,2.464,0,0,0.5732
1,3,0,2.464,0,1,0.5149
1,3,0,2.464,1,1,0.6444
1,3,0,2.464,0,1,0.566
1,3,1,1.54,1,1,0.5759
1,3,1,1.54,0,0,0.6159
1,3,1,1.54,1,0,0.6087
1,3,1,1.54,0,0,0.5782
1,3,1,1.54,1,0,0.5772
1,3,1,1.54,1,0,0.5696
1,3,1,1.54,0,0,0.5709
1,3,1,1.54,0,1,0.5055
1,3,1,1.54,1,0,0.5621
1,3,1,1.54,1,0,0.6436
1,3,1,1.54,0,0,0.6584
1,3,1,1.54,0,0,0.4909
1,3,1,1.54,1,0,0.5563
1,3,1,1.54,0,0,0.4754
1,3,1,1.54,0,1,0.8196
1,3,1,1.54,1,0,0.5971
1,3,1,1.54,1,1,0.468
1,3,1,1.54,1,0,0.5562
1,3,1,1.54,0,1,0.8833
1,3,1,1.54,0,0,0.6252
1,3,1,1.54,0,0,0.473
1,3,1,1.54,0,0,0.4568
1,3,1,1.54,0,0,0.5604
1,3,1,1.54,1,0,0.4976
1,3,1,1.54,0,0,0.4713
1,3,1,1.54,0,1,0.6489
1,3,1,1.54,1,0,0.5544
1,3,1,1.54,1,0,0.3682
1,3,1,1.54,1,1,0.5615
1,3,1,1.54,1,0,0.531
1,3,1,1.54,1,0,0.4736
1,3,1,1.54,0,1,0.569
1,3,1,1.54,1,0,0.4849
1,3,1,1.54,1,0,0.5007
1,3,1,1.54,1,1,0.5243
1,3,1,1.54,0,0,0.4779
1,3,1,1.54,0,0,0.4633
1,3,1,1.54,1,0,0.6349
1,3,1,1.54,0,0,0.5023
1,3,1,1.54,1,1,0.454
1,3,1,1.54,0,0,0.3556
1,3,1,1.54,0,0,0.5751
1,3,1,1.54,1,0,0.4326
1,3,1,1.54,1,1,0.4007
1,3,1,1.54,0,0,0.5898
1,3,1,1.54,0,0,0.6672
1,3,1,1.54,0,0,0.4095
1,3,1,1.54,1,0,0.5993
1,3,1,1.54,0,1,0.5646
1,3,1,1.54,0,0,0.4667
1,3,1,1.54,0,0,0.4591
1,3,1,1.54,1,0,0.547
1,3,1,1.54,1,1,0.4365
1,3,1,1.54,0,0,0.5177
1,3,1,1.54,1,0,0.5077
1,3,1,1.54,1,1,0.4451
1,3,1,1.54,1,1,0.3985
1,3,1,1.54,0,0,0.5163
1,3,1,1.54,0,0,0.5018
1,3,1,1.54,1,0,0.4873
1,3,0,2.464,1,0,0.6655
1,3,0,2.464,1,1,0.4793
1,3,0,2.464,1,0,0.4769
1,3,0,2.464,0,0,0.4745
1,3,0,2.464,0,0,0.5475
1,3,0,2.464,1,0,0.449
1,3,0,2.464,1,1,0.5903
1,3,0,2.464,0,0,0.4234
1,3,0,2.464,1,0,0.4849
1,3,0,2.464,0,0,0.4983
1,3,0,2.464,0,0,1.0
1,3,0,2.464,0,0,0.4409
1,3,0,2.464,1,1,0.5825
1,3,0,2.464,1,0,0.5116
1,3,0,2.464,1,0,0.509
1,3,0,2.464,1,0,0.6824
1,3,0,2.464,0,1,0.6276
1,3,0,2.464,0,0,0.4212
1,3,0,2.464,1,0,0.5148
1,3,0,2.464,1,1,0.4918
1,3,0,2.464,0,0,0.4293
1,3,0,2.464,1,1,0.5506
1,3,0,2.464,1,1,0.6281
1,3,0,2.464,1,1,0.4975
1,3,0,2.464,0,1,0.5067
1,3,0,2.464,0,0,0.5042
1,3,0,2.464,0,1,0.5174
1,3,0,2.464,0,0,0.4465
1,3,0,2.464,0,0,0.54
1,3,0,2.464,0,0,0.4895
1,4,0,1.386,1,0,0.6487
1,4,0,1.386,1,1,0.49
1,4,0,1.386,0,0,0.5555
1,4,0,1.386,0,0,0.5727
1,4,0,1.386,1,0,0.9789
1,4,0,1.386,1,1,0.5964
1,4,0,1.386,1,0,0.5814
1,4,0,1.386,0,1,0.5236
1,4,0,1.386,1,0,0.4771
1,4,0,1.386,0,0,0.6384
1,4,0,1.386,1,1,0.6522
1,4,0,1.386,1,1,0.5497
1,4,0,1.386,0,0,0.6792
1,4,0,1.386,1,0,0.5569
1,4,0,1.386,0,0,0.5425
1,4,0,1.386,0,0,0.6397
1,4,0,1.386,0,1,0.5414
1,4,0,1.386,0,0,0.5031
1,4,0,1.386,0,0,0.5566
1,4,0,1.386,1,0,0.5384
1,4,0,1.386,0,0,0.5307
1,4,0,1.386,0,0,0.5055
1,4,0,1.386,1,0,0.4912
1,4,0,1.386,1,1,0.7316
1,4,0,1.386,1,0,0.6904
1,4,0,1.386,1,0,0.5317
1,4,0,1.386,0,0,0.5804
1,4,0,1.386,0,1,0.715
1,4,0,1.386,1,0,0.7325
1,4,0,1.386,0,0,0.6052
1,4,1,0.924,1,0,0.6312
1,4,1,0.924,0,0,0.6966
1,4,1,0.924,1,0,0.6287
1,4,1,0.924,0,1,0.592
1,4,1,0.924,1,1,0.5295
1,4,1,0.924,1,1,0.5259
1,4,1,0.924,0,1,0.6166
1,4,1,0.924,0,1,0.5061
1,4,1,0.924,0,1,0.5187
1,4,1,0.924,1,0,0.5453
1,4,1,0.924,1,0,0.5147
1,4,1,0.924,1,0,0.4792
1,4,1,0.924,0,0,0.5382
1,4,1,0.924,1,0,0.591
1,4,1,0.924,0,0,0.5725
1,4,1,0.924,0,0,0.5867
1,4,1,0.924,1,0,0.5683
1,4,1,0.924,0,0,0.5814
1,4,1,0.924,0,0,0.5788
1,4,1,0.924,0,0,0.5771
1,4,1,0.924,1,0,0.6146
1,4,1,0.924,1,0,0.6161
1,4,1,0.924,1,0,0.7979
1,4,1,0.924,0,0,0.5752
1,4,1,0.924,0,0,0.641
1,4,1,0.924,0,0,0.6466
1,4,1,0.924,1,0,0.6321
1,4,1,0.924,0,0,0.5697
1,4,1,0.924,1,0,0.5592
1,4,1,0.924,1,0,0.6405
1,4,1,0.924,1,0,0.4953
1,4,1,0.924,0,1,0.5986
1,4,1,0.924,0,0,0.7079
1,4,1,0.924,0,0,0.6774
1,4,1,0.924,0,0,0.5786
1,4,1,0.924,1,1,0.4844
1,4,1,0.924,0,0,0.5133
1,4,1,0.924,1,1,0.4833
1,4,1,0.924,1,1,0.48
1,4,1,0.924,1,1,0.5624
1,4,1,0.924,1,0,0.847
1,4,1,0.924,0,0,0.5612
1,4,1,0.924,0,0,0.5575
1,4,1,0.924,1,1,0.6177
1,4,1,0.924,0,1,0.6405
1,4,1,0.924,0,1,0.5838
1,4,1,0.924,1,0,0.4793
1,4,1,0.924,1,0,0.5026
1,4,1,0.924,0,0,0.5415
1,4,1,0.924,1,1,0.5014
1,4,1,0.924,0,0,0.6905
1,4,1,0.924,1,1,0.6549
1,4,1,0.924,0,0,0.5454
1,4,1,0.924,1,1,0.5263
1,4,1,0.924,0,0,0.5442
1,4,1,0.924,0,0,0.9085
1,4,1,0.924,1,1,0.5591
1,4,1,0.924,1,1,0.5711
1,4,1,0.924,1,0,0.542
1,4,1,0.924,0,0,0.7778
1,4,0,1.386,1,0,0.4439
1,4,0,1.386,1,1,0.5291
1,4,0,1.386,0,0,0.4748
1,4,0,1.386,1,1,0.4401
1,4,0,1.386,0,0,0.3739
1,4,0,1.386,0,0,0.4789
1,4,0,1.386,0,1,0.5725
1,4,0,1.386,1,1,0.41
1,4,0,1.386,1,1,0.4671
1,4,0,1.386,0,0,0.4164
1,4,0,1.386,1,0,0.4938
1,4,0,1.386,1,0,0.471
1,4,0,1.386,0,0,0.5966
1,4,0,1.386,1,0,0.4019
1,4,0,1.386,1,0,0.4793
1,4,0,1.386,0,0,0.4405
1,4,0,1.386,0,0,0.4059
1,4,0,1.386,1,0,0.4513
1,4,0,1.386,0,0,0.5768
