session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,2,1,1.54,0,0,0.7095
1,2,1,1.54,0,0,0.5771
1,2,1,1.54,0,0,0.7009
1,2,1,1.54,1,1,0.4584
1,2,1,1.54,0,0,0.5342
1,2,1,1.54,1,0,0.5531
1,2,1,1.54,1,1,0.5494
1,2,1,1.54,0,1,0.472
1,2,1,1.54,1,1,0.58
1,2,1,1.54,0,0,0.5668
1,2,1,1.54,0,0,0.883
1,2,1,1.54,1,0,0.6938
1,2,1,1.54,1,1,0.4656
1,2,1,1.54,0,1,0.5725
1,2,1,1.54,0,0,0.4504
1,2,1,1.54,0,0,0.5276
1,2,1,1.54,1,1,0.6488
1,2,1,1.54,0,0,0.3825
1,2,1,1.54,0,0,0.4161
1,2,1,1.54,0,0,0.3974
1,2,1,1.54,1,1,0.5109
1,2,1,1.54,1,0,0.6523
1,2,1,1.54,1,0,0.4618
1,2,1,1.54,1,1,0.4273
1,2,1,1.54,0,0,0.7968
1,2,1,1.54,0,1,0.4422
1,2,1,1.54,1,0,0.4277
1,2,1,1.54,0,0,0.553
1,2,1,1.54,1,1,0.8905
1,2,1,1.54,1,0,0.472
1,2,1,1.54,1,0,0.7136
1,2,1,1.54,1,1,0.4228
1,2,1,1.54,1,0,0.419
1,2,1,1.54,1,1,0.5101
1,2,1,1.54,0,0,0.4274
1,2,1,1.54,1,1,0.7171
1,2,1,1.54,0,0,0.5865
1,2,1,1.54,0,0,0.4441
1,2,1,1.54,1,1,0.4892
1,2,1,1.54,1,1,0.3949
1,2,1,1.54,0,0,0.3602
1,2,1,1.54,0,0,0.3618
1,2,1,1.54,0,0,0.5512
1,2,0,2.464,0,0,0.5861
1,2,0,2.464,0,0,0.5225
1,2,0,2.464,0,0,0.5191
1,2,0,2.464,1,0,0.4095
1,2,0,2.464,1,1,0.4375
1,2,0,2.464,1,0,0.3765
1,2,0,2.464,0,0,0.5003
1,2,0,2.464,1,1,0.4232
1,2,0,2.464,0,1,0.5954
1,2,0,2.464,0,0,0.5501
1,2,0,2.464,0,0,0.3378
1,2,0,2.464,1,0,0.3252
1,2,0,2.464,0,0,0.3048
1,2,0,2.464,1,1,0.5321
1,2,0,2.464,0,1,0.4149
1,2,0,2.464,1,0,0.3549
1,2,0,2.464,0,1,0.4777
1,2,0,2.464,1,1,0.6098
1,2,0,2.464,1,1,0.6038
1,2,0,2.464,0,0,0.3602
1,2,0,2.464,1,0,0.4385
1,2,0,2.464,0,0,0.4978
1,2,0,2.464,0,0,0.5175
1,2,0,2.464,0,1,0.5926
1,2,0,2.464,1,0,0.5005
1,2,0,2.464,0,0,1.0
1,2,0,2.464,1,1,0.403
1,2,0,2.464,1,1,0.4049
1,2,0,2.464,1,1,0.386
1,2,0,2.464,1,0,0.4998
1,3,0,2.464,0,0,0.5926
1,3,0,2.464,0,0,0.4076
1,3,0,2.464,1,1,0.3735
1,3,0,2.464,1,0,0.4467
1,3,0,2.464,0,0,0.3684
1,3,0,2.464,1,1,0.3982
1,3,0,2.464,1,0,0.3595
1,3,0,2.464,1,0,0.4409
1,3,0,2.464,1,0,0.4233
1,3,0,2.464,1,0,0.7843
1,3,0,2.464,1,1,0.4015
1,3,0,2.464,1,1,0.6073
1,3,0,2.464,0,0,0.329
1,3,0,2.464,0,0,0.3303
1,3,0,2.464,1,1,0.2959
1,3,0,2.464,1,0,0.4655
1,3,0,2.464,1,0,0.403
1,3,0,2.464,1,0,0.6573
1,3,0,2.464,0,1,0.5382
1,3,0,2.464,0,0,0.4436
1,3,0,2.464,0,0,0.5612
1,3,0,2.464,0,1,0.5308
1,3,0,2.464,1,1,0.3704
1,3,0,2.464,0,0,0.3939
1,3,0,2.464,0,0,0.7154
1,3,0,2.464,0,0,0.3948
