session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,2,1,1.694,1,1,0.7381
1,2,1,1.694,0,1,0.8358
1,2,1,1.694,1,1,0.4404
1,2,1,1.694,0,1,0.5578
1,2,1,1.694,1,0,0.485
1,2,1,1.694,1,1,0.4386
1,2,1,1.694,0,0,0.4867
1,2,1,1.694,0,0,0.6219
1,2,1,1.694,1,0,0.575
1,2,1,1.694,0,0,0.527
1,2,1,1.694,0,0,0.4542
1,2,1,1.694,0,1,0.5196
1,2,1,1.694,1,0,0.4721
1,2,1,1.694,0,0,0.4776
1,2,1,1.694,1,1,0.5472
1,2,1,1.694,0,0,0.477
1,2,1,1.694,1,0,0.5104
1,2,1,1.694,0,1,0.5078
1,2,1,1.694,0,0,0.4379
1,2,1,1.694,1,1,0.503
1,2,1,1.694,1,1,0.4847
1,2,1,1.694,1,1,0.5422
1,2,1,1.694,1,1,0.5117
1,2,1,1.694,1,1,0.3815
1,2,1,1.694,0,0,0.8071
1,2,1,1.694,0,0,0.5046
1,2,1,1.694,1,1,0.5022
1,2,1,1.694,1,1,0.7037
1,2,1,1.694,0,1,0.6412
1,2,1,1.694,0,1,0.5595
1,2,1,1.694,1,1,0.8404
1,2,1,1.694,0,1,0.8578
1,2,1,1.694,1,1,0.3994
1,2,1,1.694,0,0,0.5973
1,2,1,1.694,1,1,0.571
1,2,1,1.694,0,0,0.5565
1,2,1,1.694,1,0,0.5573
1,2,1,1.694,0,1,0.6596
1,2,1,1.694,1,1,0.4852
1,2,1,1.694,1,1,0.3421
1,2,1,1.694,0,1,0.5404
1,2,1,1.694,0,0,0.5098
1,2,1,1.694,0,0,1.0
1,2,0,2.31,1,0,0.6959
1,2,0,2.31,0,0,0.5972
1,2,0,2.31,1,1,0.5346
1,2,0,2.31,0,0,0.9999
1,2,0,2.31,0,0,0.9999
1,2,0,2.31,0,0,1.0
1,2,0,2.31,0,1,0.4789
1,2,0,2.31,0,1,0.4387
1,2,0,2.31,0,1,0.8241
1,2,0,2.31,1,0,0.7756
1,2,0,2.31,1,0,0.9592
1,2,0,2.31,1,0,0.5446
1,2,0,2.31,0,0,0.7685
1,2,0,2.31,0,1,0.504
1,2,0,2.31,1,1,0.6814
1,2,0,2.31,1,1,0.7453
1,2,0,2.31,1,0,0.7206
1,2,0,2.31,1,1,0.626
1,2,0,2.31,0,0,0.5136
1,2,0,2.31,0,0,0.5675
1,2,0,2.31,1,1,0.6046
1,2,0,2.31,1,0,0.4367
1,2,0,2.31,0,0,0.5663
1,2,0,2.31,1,1,0.8533
1,2,0,2.31,0,0,0.6532
1,2,0,2.31,0,0,0.4788
